kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
匠,Most people don't know that one of the most revered artisans in Japan preserves the ancient art of cutting cardboard boxes with an ax.,The axe murderer considered himself an artisan for how his tastefully chopped up his victims and arranged their remains artfully in boxes.,Hint: Artisan/Ax Def: An artisan is a skilled manual worker; a craftsperson. Here we see his tools represented by the artisan's ax stored in his toolbox.
医,The doctor puts the cardboard box on his head and throws a dart at a chart to determine his patients' illnesses.,"This DOCTOR prefers to use DARTS instead of syringes for injections. Here, he pulls out his BOX of DARTS, and the child on the examination table squirms.","The doctor is tired of seeing one patient after another wanting vaccinations, so he steps into the waiting room with a big box full of darts loaded with the medicine. Bam, bam, bam, all done."
匹,This kanji is used commonly as a counter for small animals. This is a pictograph of a SMALL ANIMAL'S view from inside a CARDBOARD BOX looking out at his masters HUMAN LEGS. He's probably hiding so the master does not COUNT him with the other animals which will probably be eaten (thus he avoids everyones EQUAL fate on the farm: the kitchen table).,"Put a box over everyone's heads, letting only the legs show, and we all look pretty much equal.",4 - 1 = this kanji.
区,That's the homeless ward of the city. Wolverine lives in a cardboard box there.,"In the Akihabara ward, it is mandated that every resident own an X-BOX (well more like a PS3 but you get the point).",In the homeless ward of the city you see people sleeping in CARDBOARD BOXES using a SHEAF as a pillow.
枢,The hinge on Wolverine's cardboard box is made of wood because he doesn't have enough budget to buy metal hinges.,You notice a hinge on a tree and realize there's a secret door. You open it up to find an Xbox!!!,The hinge in this hospital ward was made of wood because they didn't have enough budget to buy metal hinges.
殴,The city decides to disperse the homeless ward with a precision missile assault. They didn't know Wolverine was living in a cardboard box there though...,The biggest assault on Japan during WW2 is when the wards in Hiroshima and Nagasaki were wiped out by nuclear missiles.,Kids these days are just assaulted by violent games. Just look at these X-Box games - they all have missiles in them! Even Barbie Horse Adventure!
欧,"""Europe? Yawn... I've been to every ward(country/area),"" says Wolverine interviewed from his cardboard box.",[Europe] X-Box was first released in America and Japan (the biggest videogame markets). Europe had an X-Box lack for a while...,"Do japanese consider Europe like just a ward, boring enough to make them yawn?? This kanji is offensive!"
抑,A true stamp collecting nerd won't be able to repress the urge to get his fingers on the latest box of collector stamps!,They would repress dissents by cutting off their fingers and mailing them to relatives in small boxes (of course including stamps for proper postage).,"A chikan (bus-molester) tries to repress his finger-groping desire by refusing to travel by bus anymore. Instead, he seals himself in a box, makes sure there are enough postage stamps on the outside, and mails himself. He's a good man at heart , you see... just a bit of a slave to his libido. (I suggest using this same Chikan as the primitive for the ""box and stamp"" combo on the right side of this kanji, which come up more than once later on)."
仰,All stamps in Mr T's collection box are lied carefully face-up.,"Mr T with the post package at the post office: 'these stamps don't stick to the box, foo' Postguy:' Try it again but this time with the stamp, face-up.'",A person who is a stamp collector has all of the stamps face-up in their box.
迎,Stamp-collectors sit and wait on the road to welcome new mail arrivals.,The stamp collector goes out to the road to welcome the arrival of his new stamp box.,I welcome the box from Amazon (a box with stamps on it) that has come a long way.
登,"When an American Indian warrior dies, his body is placed on a TABLE inside a TEEPEE, and a ritualistic ceremony is held to encourage his spirit to ASCEND to that big buffalo hunting ground in the sky.","When I was a kid I went out camping in a teepee. I ate beans for dinner, and afterwards I produced so much gas that my teepee actually ascended in the air!","Mr Bean ascends a teepee, which then collapses, flattening the American Indians trapped inside."
澄,"Scuba divers know that when you ascend in the water, your lucidity increases (For non-divers, the deeper you go, the more you become mentally impaired by nitrogen narcosis, every 50 feet is like drinking one martini). Scuba divers also know that as you ascend in the water, the lucidity of the water improves, too.","Lucid dreams allow me to control what is happening. In a drowning nightmare, I forced lucidity and allowed myself ascend to the surface.","The keyword refers to limpid water, but also to something that is clear (as in ""crystal clear""). In Buddhism the thinking mind is often compared to a pond : if you stir the water, the mud from the bottom mixes with the water, and the mind is ""muddy"". To attain lucidity, one has to let the mud settle, or as in this kanji, take a shortcut and just ascend through the water."
発,"Two pairs of human legs poking out of a teepee: you know there'll be a discharge soon, be it sexual, violent (husband returns home with a weapon), or dishonourable (soldier caught molesting a native), or perhaps all of the above.","The indian chief went into his teepee and found his wife sleeping with a cowboy. He discharged his gun at the two people, and left with their legs discharging out the door.",The soldier was dishonorably discharged when his commanding officer saw two pairs of legs sticking out of a teepee designed for just one soldier.
